"","ENF_ACTION_ISSUE_DATE","total"
"265",2015-04-30,14
"266",2015-05-04,29
"267",2015-05-08,21
"268",2015-05-11,1
"269",2015-05-18,44
"270",2015-05-26,49
"271",2015-05-27,14
"272",2015-05-28,14
"273",2015-06-05,9
"274",2015-06-10,8
"275",2015-06-12,3
"276",2015-06-15,92
"277",2015-06-18,64
"278",2015-06-19,3
"279",2015-06-22,46
"280",2015-06-23,22
"281",2015-06-24,2
"282",2015-07-01,1
"283",2015-07-06,2
"284",2015-07-07,28
"285",2015-07-08,1
"286",2015-07-10,34
"287",2015-07-13,12
"288",2015-07-21,2
"289",2015-08-25,12
"290",2015-09-02,11
"291",2015-09-10,1
"292",2015-09-11,8
"293",2015-09-21,1
"294",2015-09-29,27
"295",2015-10-01,58
"296",2015-10-02,1
"297",2015-10-12,8
"298",2015-10-22,14
"299",2015-10-26,1
"300",2015-10-29,10
"301",2015-11-03,27
"302",2015-11-05,50
"303",2015-11-09,29
"304",2015-11-10,8
"305",2015-11-13,14
"306",2015-11-16,17
"307",2015-11-18,8
"308",2015-11-24,3
"309",2015-12-08,36
"310",2015-12-11,1
"311",2015-12-14,12
"312",2015-12-31,41
"313",2016-01-01,1
"314",2016-01-07,28
"315",2016-01-13,1
"316",2016-01-15,5
"317",2016-01-20,1
"318",2016-01-21,1
"319",2016-01-25,14
"320",2016-02-02,5
"321",2016-02-11,41
"322",2016-02-19,1
"323",2016-02-24,1
"324",2016-02-29,1
"325",2016-03-02,1
"326",2016-03-07,12
"327",2016-03-09,14
"328",2016-03-10,5
"329",2016-03-11,21
"330",2016-03-14,2
"331",2016-03-21,19
"332",2016-03-23,11
"333",2016-03-29,12
"334",2016-03-31,9
"335",2016-04-01,1
"336",2016-04-11,3
"337",2016-04-13,7
"338",2016-04-19,2
"339",2016-04-22,13
"340",2016-04-30,19
"341",2016-05-03,60
"342",2016-05-06,16
"343",2016-05-09,21
"344",2016-05-10,20
"345",2016-05-16,13
"346",2016-05-18,10
"347",2016-05-20,1
"348",2016-05-24,2
"349",2016-05-26,2
"350",2016-05-27,15
"351",2016-05-31,6
"352",2016-06-01,4
"353",2016-06-03,1
"354",2016-06-13,1
"355",2016-06-23,12
"356",2016-06-24,7
"357",2016-06-30,15
"358",2016-07-07,1
"359",2016-07-15,1
"360",2016-07-22,2
"361",2016-07-28,1
"362",2016-08-01,1
"363",2016-08-11,1
"364",2016-08-17,1
"365",2016-08-22,7
"366",2016-08-23,1
"367",2016-08-24,74
"368",2016-09-06,1
"369",2016-09-07,6
"370",2016-09-08,2
"371",2016-09-14,2
"372",2016-09-26,1
"373",2016-09-30,4
"374",2016-10-01,1
"375",2016-10-03,10
"376",2016-10-07,9
"377",2016-10-14,9
"378",2016-10-21,27
"379",2016-10-26,2
"380",2016-10-28,6
"381",2016-11-04,10
"382",2016-11-14,2
"383",2016-11-18,1
"384",2016-11-28,17
"385",2016-12-01,1
"386",2016-12-02,8
"387",2016-12-05,15
"388",2016-12-06,5
"389",2016-12-08,10
"390",2016-12-13,9
"391",2016-12-22,3
"392",2016-12-28,2
"393",2016-12-29,4
"394",2017-01-01,2
"395",2017-01-05,1
"396",2017-01-06,10
"397",2017-01-10,2
"398",2017-01-11,19
"399",2017-01-17,1
"400",2017-01-27,1
"401",2017-01-30,6
"402",2017-02-03,1
"403",2017-02-07,3
"404",2017-02-15,4
"405",2017-02-28,1
"406",2017-03-06,4
"407",2017-03-08,1
"408",2017-03-09,2
"409",2017-03-15,8
"410",2017-03-17,1
"411",2017-03-20,15
"412",2017-03-21,6
"413",2017-03-22,16
"414",2017-03-24,13
"415",2017-04-01,1
"416",2017-04-05,2
"417",2017-04-06,6
"418",2017-04-07,1
"419",2017-04-10,3
"420",2017-04-24,8
"421",2017-04-25,27
"422",2017-04-28,9
"423",2017-05-03,21
"424",2017-05-04,8
"425",2017-05-05,2
"426",2017-05-09,32
"427",2017-05-10,3
"428",2017-05-12,12
"429",2017-05-15,15
"430",2017-05-30,6
"431",2017-05-31,5
"432",2017-06-05,1
"433",2017-06-06,11
"434",2017-06-08,10
"435",2017-06-19,8
"436",2017-06-20,14
"437",2017-06-30,20
"438",2017-07-01,1
"439",2017-07-05,18
"440",2017-07-11,6
"441",2017-07-13,3
"442",2017-07-14,7
"443",2017-07-24,26
"444",2017-07-26,1
"445",2017-07-27,22
"446",2017-08-01,22
"447",2017-08-02,1
"448",2017-08-03,1
"449",2017-08-07,4
"450",2017-08-14,7
"451",2017-08-15,2
"452",2017-08-16,10
"453",2017-08-29,1
"454",2017-09-20,1
"455",2017-09-22,3
"456",2017-10-12,1
"457",2017-10-13,5
"458",2017-10-16,1
"459",2017-10-30,2
"460",2017-10-31,3
"461",2017-11-01,3
"462",2017-11-02,2
"463",2017-11-06,30
"464",2017-11-08,1
"465",2017-11-16,6
"466",2017-11-17,2
"467",2017-11-22,5
"468",2017-11-27,1
"469",2017-11-29,1
"470",2017-11-30,4
"471",2017-12-07,1
"472",2017-12-13,2
"473",2017-12-19,1
"474",2017-12-20,25
"475",2017-12-27,4
"476",2017-12-31,4
"477",2018-01-03,2
"478",2018-01-04,1
"479",2018-01-10,1
"480",2018-01-17,2
"481",2018-01-23,3
"482",2018-01-26,4
"483",2018-01-30,1
"484",2018-02-06,1
"485",2018-02-07,1
"486",2018-02-08,5
"487",2018-02-15,4
"488",2018-02-16,5
"489",2018-02-20,3
"490",2018-02-21,3
"491",2018-02-27,29
"492",2018-03-01,38
"493",2018-03-02,3
"494",2018-03-05,75
"495",2018-03-06,5
"496",2018-03-09,13
"497",2018-03-12,6
"498",2018-03-13,13
"499",2018-03-15,14
"500",2018-03-16,11
"501",2018-03-21,5
"502",2018-03-22,8
"503",2018-03-23,3
"504",2018-03-29,8
"505",2018-04-03,5
"506",2018-04-06,4
"507",2018-04-13,1
"508",2018-04-18,9
"509",2018-04-20,3
"510",2018-04-23,4
"511",2018-04-24,6
"512",2018-04-25,3
"513",2018-04-26,4
"514",2018-04-27,3
"515",2018-04-30,1
"516",2018-05-02,37
"517",2018-05-08,4
"518",2018-05-09,5
"519",2018-05-10,9
"520",2018-05-14,2
"521",2018-05-18,15
"522",2018-05-23,2
"523",2018-05-25,2
"524",2018-05-31,1
"525",2018-06-05,7
"526",2018-06-07,3
"527",2018-06-12,2
"528",2018-06-15,1
"529",2018-06-18,2
"530",2018-06-21,3
"531",2018-06-27,2
"532",2018-06-29,5
"533",2018-07-02,6
"534",2018-07-06,3
"535",2018-07-11,1
"536",2018-07-12,2
"537",2018-07-13,4
"538",2018-07-16,1
"539",2018-07-17,4
"540",2018-07-19,2
"541",2018-07-23,1
"542",2018-07-24,1
"543",2018-07-30,1
"544",2018-08-02,3
"545",2018-08-06,1
"546",2018-08-09,1
"547",2018-08-10,19
